Name,URL
Michael Ajao-Olarinoye,https://pureportal.coventry.ac.uk/en/persons/michael-ajao-olarinoye
Opeoluwa Akinseloyin,https://pureportal.coventry.ac.uk/en/persons/opeoluwa-akinseloyin
Emran Ali,https://pureportal.coventry.ac.uk/en/persons/emran-ali
Rjaa Jawad Ashraf,https://pureportal.coventry.ac.uk/en/persons/rjaa-jawad-ashraf
Abiola Babatunde,https://pureportal.coventry.ac.uk/en/persons/abiola-babatunde
Daniel Babalola Bammeke,https://pureportal.coventry.ac.uk/en/persons/daniel-babalola-bammeke
Rashid Barket,https://pureportal.coventry.ac.uk/en/persons/rashid-barket
Fatma Benkhelifa,https://pureportal.coventry.ac.uk/en/persons/fatma-benkhelifa
James Brusey,https://pureportal.coventry.ac.uk/en/persons/james-brusey
Heng Jie Choong,https://pureportal.coventry.ac.uk/en/persons/heng-jie-choong
Tereso del Río Almajano,https://pureportal.coventry.ac.uk/en/persons/tereso-del-r%C3%ADo-almajano
Ankur Deo,https://pureportal.coventry.ac.uk/en/persons/ankur-deo
James Donnelly,https://pureportal.coventry.ac.uk/en/persons/james-donnelly
Matthew England,https://pureportal.coventry.ac.uk/en/persons/matthew-england
Majdi Fanous,https://pureportal.coventry.ac.uk/en/persons/majdi-fanous
Sivasharmini Ganeshamoorthy,https://pureportal.coventry.ac.uk/en/persons/sivasharmini-ganeshamoorthy
Susanta Kumar Ghosh,https://pureportal.coventry.ac.uk/en/persons/sush-ghosh
Stephan Goerttler,https://pureportal.coventry.ac.uk/en/persons/stephan-goerttler
Shenal Rajintha Alexander Samarathunge Gunawardena,https://pureportal.coventry.ac.uk/en/persons/shenal-rajintha-alexander-samarathunge-gunawardena
Alison Halford,https://pureportal.coventry.ac.uk/en/persons/alison-halford
Fei He,https://pureportal.coventry.ac.uk/en/persons/fei-he
Yulian Ivan Mykhailo Honchar,https://pureportal.coventry.ac.uk/en/persons/yulian-ivan-mykhailo-honchar
Pengpeng Hu,https://pureportal.coventry.ac.uk/en/persons/pengpeng-hu
Charlie Ingram,https://pureportal.coventry.ac.uk/en/persons/charlie-ingram
Brandi Jo Jess,https://pureportal.coventry.ac.uk/en/persons/brandi-jo-jess
Xiaorui Jiang,https://pureportal.coventry.ac.uk/en/persons/xiaorui-jiang
Sokipriala Solomon Jonah,https://pureportal.coventry.ac.uk/en/persons/sokipriala-solomon-jonah
Amirkazem Kayhani,https://pureportal.coventry.ac.uk/en/persons/amir-kayhani
Dominik Klepl,https://pureportal.coventry.ac.uk/en/persons/dominik-klepl
Ibnu Febry Kurniawan,https://pureportal.coventry.ac.uk/en/persons/ibnu-febry-kurniawan
Giacomo Demetrio Masone,https://pureportal.coventry.ac.uk/en/persons/giacomo-demetrio-masone
Ruchita Mehta,https://pureportal.coventry.ac.uk/en/persons/ruchita-mehta
Mohamed Ahsan Mohamed Mafaz,https://pureportal.coventry.ac.uk/en/persons/mohamed-ahsan-mohamed-mafaz
Shruti Nair,https://pureportal.coventry.ac.uk/en/persons/shruti-nair
Vasile Palade,https://pureportal.coventry.ac.uk/en/persons/vasile-palade
Rishav Raj,https://pureportal.coventry.ac.uk/en/persons/rishav-raj
Luigi Russi,https://pureportal.coventry.ac.uk/en/persons/luigi-russi
AmirHosein Sadeghimanesh Sadeghi Manesh,https://pureportal.coventry.ac.uk/en/persons/amirhosein-sadeghimanesh-sadeghi-manesh
Sara Sardari,https://pureportal.coventry.ac.uk/en/persons/sara-sardari
Huma Shah,https://pureportal.coventry.ac.uk/en/persons/huma-shah
Colin Stephen,https://pureportal.coventry.ac.uk/en/persons/colin-stephen
Saurav Sthapit,https://pureportal.coventry.ac.uk/en/persons/saurav-sthapit
Maria Tariq,https://pureportal.coventry.ac.uk/en/persons/maria-tariq
Matthew Stephen Tart,https://pureportal.coventry.ac.uk/en/persons/matthew-stephen-tart
Abhiram Thiruthummal,https://pureportal.coventry.ac.uk/en/persons/abhiram-thiruthummal
Julia Wieczorek,https://pureportal.coventry.ac.uk/en/persons/julia-wieczorek
Jaimz Winter,https://pureportal.coventry.ac.uk/en/persons/jaimz-winter
